ARTIST,SONG TITLE,DISC CODE
Billy Joel,Big Shot,MM-10761
Billy Joel,Hey Girl,MM-13333
Billy Joel,It's Still Rock & Roll To Me,MM-10370
Billy Joel,Just The Way You Are,MM-10550
Billy Joel,Leave A Tender Moment Alone,MM-10763
Billy Joel,Longest Time,MM-10751
Billy Joel,Lullabye (Goodnight My Angel),MM-10598
Billy Joel,Movin' Out (Anthony's Song),MM-10358
Billy Joel,My Life,MM-11562
Billy Joel,New York State Of Mind,MM-14296
Billy Joel,Only The Good Die Young,MM-10758
Billy Joel,Piano Man,MM-10749
Billy Joel,River Of Dreams,MM-10401
Billy Joel,Say Goodbye To Hollywood,MM-14298
Billy Joel,Scenes From An Italian Restaurant,MM-14297
Billy Joel,She's Always A Woman To Me,MM-10757
Billy Joel,To Make You Feel My Love,MM-13183
Billy Joel,You May Be Right,MM-10754
Billy Montana,Rain Through The Roof,MM-11622
Billy Ocean,Caribbean Queen,MM-10858
Billy Ocean,Suddenly,MM-10821
Billy Ocean,There'll Be Sad Songs (To Make You Cry),MM-15395
Billy Paul,Me And Mrs. Jones,MM-12378
Billy Ray Cyrus,Achy Breaky Heart,MM-10032
Billy Ray Cyrus,Burn Down The Trailer Park,MM-14847
Billy Ray Cyrus,Busy Man,MM-13809
Billy Ray Cyrus,Give My Heart To You,MM-14006
Billy Ray Cyrus,It's All The Same To Me,MM-13064
Billy Ray Cyrus,She's Not Crying Anymore,MM-10330
